"","Degree","Closeness","Betweennes","Eigenvector","SS","Node","Partition","Country"
"science",493,0.00183823529411765,96081.2548128608,1,"science","science","Skill","Argentina"
"speaking",239,0.000950570342205323,13796.792363078,0.592050157528657,"speaking","speaking","Skill","Argentina"
"active_listening",170,0.000840336134453782,7024.44610036766,0.429992341956686,"active_listening","active_listening","Skill","Argentina"
"learning_strategy",141,0.000801282051282051,4325.46678372959,0.358798325469342,"learning_strategy","learning_strategy","Skill","Argentina"
"reading_comprehension",132,0.000789889415481833,3554.94030826597,0.337360818865615,"reading_comprehension","reading_comprehension","Skill","Argentina"
"active_learning",117,0.000771604938271605,2923.33443014413,0.296831009107301,"active_learning","active_learning","Skill","Argentina"
"monitoring",100,0.00075187969924812,3063.9440078894,0.2386664336654,"monitoring","monitoring","Skill","Argentina"
"critical_thinking",87,0.000737463126843658,1575.84987081201,0.210345914432492,"critical_thinking","critical_thinking","Skill","Argentina"
"writing",62,0.000711237553342817,647.405699820084,0.167521676906149,"writing","writing","Skill","Argentina"
"mathematics",33,0.000683060109289617,227.565623032292,0.0721706629009103,"mathematics","mathematics","Skill","Argentina"
"text206",9,0.000982318271119843,90.9084609604513,0.113201280149888,"text206","text206","Program","Argentina"
"text487",9,0.000982318271119843,74.758842763411,0.12211884030469,"text487","text487","Program","Argentina"
"text222",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text222","text222","Program","Argentina"
"text326",8,0.0009765625,63.969143673239,0.109446769637676,"text326","text326","Program","Argentina"
"text399",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text399","text399","Program","Argentina"
"text470",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text470","text470","Program","Argentina"
"text473",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text473","text473","Program","Argentina"
"text483",8,0.000980392156862745,62.2773056355052,0.116485582065486,"text483","text483","Program","Argentina"
"text492",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text492","text492","Program","Argentina"
"text37",7,0.000974658869395711,39.4804021947998,0.108459936198652,"text37","text37","Program","Argentina"
"text167",7,0.000978473581213307,51.3660851579124,0.109412271450147,"text167","text167","Program","Argentina"
"text185",7,0.000978473581213307,51.3660851579124,0.109412271450147,"text185","text185","Program","Argentina"
"text226",7,0.000978473581213307,51.6803662279267,0.10442025618951,"text226","text226","Program","Argentina"
"text245",7,0.000974658869395711,40.3486455257762,0.107019883822516,"text245","text245","Program","Argentina"
"text246",7,0.000974658869395711,46.5613601659789,0.102026212103001,"text246","text246","Program","Argentina"
"text485",7,0.000974658869395711,42.2123297821604,0.102748748467894,"text485","text485","Program","Argentina"
"text489",7,0.000974658869395711,40.2782286263351,0.104111646028203,"text489","text489","Program","Argentina"
"text490",7,0.000978473581213307,51.2150640814302,0.106504033655834,"text490","text490","Program","Argentina"
"text36",6,0.0009765625,41.7964994852691,0.097346945574171,"text36","text36","Program","Argentina"
"text80",6,0.000972762645914397,31.1491033281146,0.0970383354128642,"text80","text80","Program","Argentina"
"text83",6,0.0009765625,42.8970383818257,0.0951595876858719,"text83","text83","Program","Argentina"
"text122",6,0.0009765625,42.8970383818257,0.0951595876858719,"text122","text122","Program","Argentina"
"text208",6,0.0009765625,43.1073355472798,0.0930758102195482,"text208","text208","Program","Argentina"
"text210",6,0.000972762645914397,49.7777034297751,0.0805858165808503,"text210","text210","Program","Argentina"
"text217",6,0.000972762645914397,37.1676758279743,0.0949529014876614,"text217","text217","Program","Argentina"
"text229",6,0.000972762645914397,32.0267562363822,0.0971154902286899,"text229","text229","Program","Argentina"
"text238",6,0.000972762645914397,38.7244386934826,0.0863334759625901,"text238","text238","Program","Argentina"
"text239",6,0.000972762645914397,37.4615868853561,0.0906046113172129,"text239","text239","Program","Argentina"
"text268",6,0.000974658869395711,42.0639410014661,0.0929986554037224,"text268","text268","Program","Argentina"
"text287",6,0.000972762645914397,30.1333125860061,0.101386625583313,"text287","text287","Program","Argentina"
"text289",6,0.000972762645914397,31.8914774440524,0.0949545579465405,"text289","text289","Program","Argentina"
"text290",6,0.0009765625,41.7964994852691,0.097346945574171,"text290","text290","Program","Argentina"
"text306",6,0.000968992248062015,40.1252244238916,0.0850830060813644,"text306","text306","Program","Argentina"
"text313",6,0.000972762645914397,32.9693981628511,0.0956754378525546,"text313","text313","Program","Argentina"
"text315",6,0.000972762645914397,44.1706242310251,0.0881207752580623,"text315","text315","Program","Argentina"
"text319",6,0.000974658869395711,41.3980647269242,0.0944387077798578,"text319","text319","Program","Argentina"
"text328",6,0.000972762645914397,31.8914774440524,0.0949545579465405,"text328","text328","Program","Argentina"
"text336",6,0.000972762645914397,31.8914774440524,0.0949545579465405,"text336","text336","Program","Argentina"
"text384",6,0.000968992248062015,39.925043220116,0.0752851911589067,"text384","text384","Program","Argentina"
"text406",6,0.000968992248062015,38.7481844887941,0.083904616683978,"text406","text406","Program","Argentina"
"text416",6,0.000972762645914397,49.7777034297751,0.0805858165808503,"text416","text416","Program","Argentina"
"text417",6,0.000972762645914397,38.3763332695013,0.0851550865652037,"text417","text417","Program","Argentina"
"text472",6,0.000972762645914397,37.4615868853561,0.0906046113172129,"text472","text472","Program","Argentina"
"text475",6,0.0009765625,43.1073355472798,0.0930758102195482,"text475","text475","Program","Argentina"
"text488",6,0.000972762645914397,31.1491033281146,0.0970383354128642,"text488","text488","Program","Argentina"
"text493",6,0.000967117988394584,27.3780421925844,0.0896522760657178,"text493","text493","Program","Argentina"
"text9",5,0.000970873786407767,24.2517514389805,0.085050164352714,"text9","text9","Program","Argentina"
"text34",5,0.000967117988394584,20.5264856597693,0.0785694930745049,"text34","text34","Program","Argentina"
"text35",5,0.000967117988394584,20.5491320345484,0.0814777308688181,"text35","text35","Program","Argentina"
"text40",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text40","text40","Program","Argentina"
"text44",5,0.000967117988394584,22.2482771648815,0.0750456632320458,"text44","text44","Program","Argentina"
"text50",5,0.000970873786407767,22.6851497668284,0.0893212997073368,"text50","text50","Program","Argentina"
"text53",5,0.000970873786407767,29.4203711448729,0.0795218283260001,"text53","text53","Program","Argentina"
"text72",5,0.000967117988394584,18.9532579601322,0.0869272556208273,"text72","text72","Program","Argentina"
"text86",5,0.000970873786407767,25.2127418378384,0.0836101119765786,"text86","text86","Program","Argentina"
"text105",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text105","text105","Program","Argentina"
"text111",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text111","text111","Program","Argentina"
"text150",5,0.000970873786407767,29.0877714828642,0.0828875756116855,"text150","text150","Program","Argentina"
"text184",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text184","text184","Program","Argentina"
"text205",5,0.000970873786407767,22.6851497668284,0.0893212997073368,"text205","text205","Program","Argentina"
"text216",5,0.000970873786407767,29.0877714828642,0.0828875756116855,"text216","text216","Program","Argentina"
"text218",5,0.000970873786407767,29.0877714828642,0.0828875756116855,"text218","text218","Program","Argentina"
"text221",5,0.000967117988394584,20.6575589210115,0.0826561202662045,"text221","text221","Program","Argentina"
"text233",5,0.000970873786407767,30.7569648585297,0.0781589307656904,"text233","text233","Program","Argentina"
"text235",5,0.000970873786407767,30.5463532313351,0.079260165347251,"text235","text235","Program","Argentina"
"text236",5,0.000970873786407767,24.725372702943,0.0856938894429024,"text236","text236","Program","Argentina"
"text237",5,0.000970873786407767,30.2201614059911,0.0836084555176996,"text237","text237","Program","Argentina"
"text240",5,0.000961538461538462,17.7155141805199,0.0740916715216716,"text240","text240","Program","Argentina"
"text242",5,0.000967117988394584,18.9532579601322,0.0869272556208273,"text242","text242","Program","Argentina"
"text244",5,0.000965250965250965,25.2301420294119,0.0721357689788536,"text244","text244","Program","Argentina"
"text249",5,0.000961538461538462,17.7155141805199,0.0740916715216716,"text249","text249","Program","Argentina"
"text267",5,0.000968992248062015,29.1526173307726,0.078539285441237,"text267","text267","Program","Argentina"
"text285",5,0.000970873786407767,23.6773011928723,0.0900421796133509,"text285","text285","Program","Argentina"
"text286",5,0.000965250965250965,18.8216349642426,0.0840190178265141,"text286","text286","Program","Argentina"
"text291",5,0.000967117988394584,20.7894550172178,0.080495187984055,"text291","text291","Program","Argentina"
"text292",5,0.000968992248062015,22.6145957684589,0.0864130619130237,"text292","text292","Program","Argentina"
"text296",5,0.000967117988394584,18.9532579601322,0.0869272556208273,"text296","text296","Program","Argentina"
"text322",5,0.000970873786407767,30.7569648585297,0.0781589307656904,"text322","text322","Program","Argentina"
"text323",5,0.000970873786407767,30.2201614059911,0.0836084555176996,"text323","text323","Program","Argentina"
"text330",5,0.000963391136801541,34.9327580450261,0.0610572765419022,"text330","text330","Program","Argentina"
"text337",5,0.000970873786407767,34.8870068316069,0.0804037395525349,"text337","text337","Program","Argentina"
"text342",5,0.000970873786407767,23.6773011928723,0.0900421796133509,"text342","text342","Program","Argentina"
"text374",5,0.000970873786407767,29.4203711448729,0.0795218283260001,"text374","text374","Program","Argentina"
"text397",5,0.000970873786407767,24.2517514389805,0.085050164352714,"text397","text397","Program","Argentina"
"text413",5,0.000968992248062015,30.5668181903217,0.0731669155050535,"text413","text413","Program","Argentina"
"text420",5,0.000970873786407767,24.2517514389805,0.085050164352714,"text420","text420","Program","Argentina"
"text430",5,0.000963391136801541,20.1631417565312,0.0775869501897418,"text430","text430","Program","Argentina"
"text452",5,0.000970873786407767,34.8870068316069,0.0804037395525349,"text452","text452","Program","Argentina"
"text463",5,0.000970873786407767,24.725372702943,0.0856938894429024,"text463","text463","Program","Argentina"
"text467",5,0.000968992248062015,28.3808540451367,0.0799793378173723,"text467","text467","Program","Argentina"
"text474",5,0.000968992248062015,24.8527934290043,0.0807018741822655,"text474","text474","Program","Argentina"
"text477",5,0.000970873786407767,34.7059122620991,0.0824875170188587,"text477","text477","Program","Argentina"
"text478",5,0.000970873786407767,23.8120430488351,0.0871339418190378,"text478","text478","Program","Argentina"
"text480",5,0.000970873786407767,30.5463532313351,0.0792601653472511,"text480","text480","Program","Argentina"
"text482",5,0.000970873786407767,30.5463532313351,0.079260165347251,"text482","text482","Program","Argentina"
