"","Degree","Closeness","Betweennes","Eigenvector","SS","Node","Partition","Country","Level"
"science",117,0.00628930817610063,6172.63919993875,1,"science","science","Skill","Argentina","Specialization"
"speaking",61,0.003690036900369,1208.92167681968,0.607967898837339,"speaking","speaking","Skill","Argentina","Specialization"
"active_listening",47,0.00334448160535117,830.718781930599,0.482809903135984,"active_listening","active_listening","Skill","Argentina","Specialization"
"reading_comprehension",30,0.003003003003003,210.633252437423,0.323842566293232,"reading_comprehension","reading_comprehension","Skill","Argentina","Specialization"
"learning_strategy",30,0.003003003003003,277.817398114799,0.303576908313226,"learning_strategy","learning_strategy","Skill","Argentina","Specialization"
"active_learning",25,0.00291545189504373,203.779708486633,0.265815809930897,"active_learning","active_learning","Skill","Argentina","Specialization"
"monitoring",18,0.00280112044817927,221.618146920004,0.154023471166169,"monitoring","monitoring","Skill","Argentina","Specialization"
"critical_thinking",12,0.002710027100271,34.9689131005091,0.112067991699974,"critical_thinking","critical_thinking","Skill","Argentina","Specialization"
"writing",9,0.00266666666666667,19.4001454505113,0.0910271761765699,"writing","writing","Skill","Argentina","Specialization"
"mathematics",8,0.0026525198938992,14.5027768010936,0.0740916690263278,"mathematics","mathematics","Skill","Argentina","Specialization"
"text185",7,0.00378787878787879,57.8843824515579,0.220313796328169,"text185","text185","Program","Argentina","Specialization"
"text289",6,0.00373134328358209,41.3944019921125,0.194577597094209,"text289","text289","Program","Argentina","Specialization"
"text319",6,0.00373134328358209,53.2835904196888,0.188206156787388,"text319","text319","Program","Argentina","Specialization"
"text328",6,0.00373134328358209,41.3944019921125,0.194577597094209,"text328","text328","Program","Argentina","Specialization"
"text384",6,0.00367647058823529,53.7339164984999,0.144878409194759,"text384","text384","Program","Argentina","Specialization"
"text416",6,0.0037037037037037,54.8433174912331,0.160095478064965,"text416","text416","Program","Argentina","Specialization"
"text417",6,0.0037037037037037,48.2575966379695,0.165358393442865,"text417","text417","Program","Argentina","Specialization"
"text9",5,0.0037037037037037,31.4450193005007,0.173318634038563,"text9","text9","Program","Argentina","Specialization"
"text50",5,0.0037037037037037,23.2636046652015,0.188186803875617,"text50","text50","Program","Argentina","Specialization"
"text53",5,0.00367647058823529,30.916638403974,0.158967600224274,"text53","text53","Program","Argentina","Specialization"
"text72",5,0.00364963503649635,20.6363013714986,0.175603297982397,"text72","text72","Program","Argentina","Specialization"
"text86",5,0.0037037037037037,34.1640223875613,0.171841410347698,"text86","text86","Program","Argentina","Specialization"
"text111",5,0.0037037037037037,22.4757099049453,0.190837917329914,"text111","text111","Program","Argentina","Specialization"
"text150",5,0.00367647058823529,33.5491993979769,0.165103520530413,"text150","text150","Program","Argentina","Specialization"
"text184",5,0.0037037037037037,22.4757099049453,0.190837917329914,"text184","text184","Program","Argentina","Specialization"
"text233",5,0.00367647058823529,33.2386370978614,0.154893684975734,"text233","text233","Program","Argentina","Specialization"
"text296",5,0.00364963503649635,20.6363013714986,0.175603297982397,"text296","text296","Program","Argentina","Specialization"
"text478",5,0.0037037037037037,30.2247316420609,0.17596974749286,"text478","text478","Program","Argentina","Specialization"
"text4",4,0.00364963503649635,14.7215404844401,0.169524532377646,"text4","text4","Program","Argentina","Specialization"
"text10",4,0.00359712230215827,18.9551298759454,0.142072856647372,"text10","text10","Program","Argentina","Specialization"
"text14",4,0.00359712230215827,22.8736055278731,0.132042400860954,"text14","text14","Program","Argentina","Specialization"
"text48",4,0.0036231884057971,14.6347395223274,0.145502879269692,"text48","text48","Program","Argentina","Specialization"
"text54",4,0.00367647058823529,16.9189534841346,0.168101730583403,"text54","text54","Program","Argentina","Specialization"
"text66",4,0.0036231884057971,19.4823917656723,0.133285822886935,"text66","text66","Program","Argentina","Specialization"
"text75",4,0.00357142857142857,19.512460432926,0.14201843475075,"text75","text75","Program","Argentina","Specialization"
