Program.Unique.ID,Univesity.Name,Program.Name,University.type,Area,Grade,Program.type,State,Program.score
"1,1",UNIVERSIDADE VILA VELHA,SOCIOLOGIA POLÍTICA,PRIVADA,SOCIOLOGIA,MESTRADO,ACADÊMICO,ES,3
"1,2",UNIVERSIDADE VILA VELHA,SEGURANÇA PÚBLICA,PRIVADA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,ES,3
"1,3",UNIVERSIDADE VILA VELHA,CIÊNCIA ANIMAL,PRIVADA,MEDICINA VETERINÁRIA,MESTRADO,ACADÊMICO,ES,3
"1,4",UNIVERSIDADE VILA VELHA,ARQUITETURA E CIDADE,PRIVADA,"ARQUITETURA, URBANISMO E DESIGN",MESTRADO,ACADÊMICO,ES,3
"2,1",UNIVERSIDADE VEIGA DE ALMEIDA,"PSICANÁLISE, SAÚDE E SOCIEDADE",PRIVADA,INTERDISCIPLINAR,MESTRADO/DOUTORADO,ACADÊMICO,RJ,4
"2,2",UNIVERSIDADE VEIGA DE ALMEIDA,CIÊNCIAS DO MEIO AMBIENTE,PRIVADA,CIÊNCIAS AMBIENTAIS,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,3
"3,1",UNIVERSIDADE VALE DO RIO DOCE,GESTÃO INTEGRADA DO TERRITÓRIO,PRIVADA,INTERDISCIPLINAR,MESTRADO,ACADÊMICO,MG,3
"4,1",UNIVERSIDADE SALVADOR,"DIREITO, GOVERNANÇA E POLÍTICAS PÚBLICAS",PRIVADA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,BA,4
"4,2",UNIVERSIDADE SALVADOR,DESENVOLVIMENTO REGIONAL E URBANO,PRIVADA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,MESTRADO/DOUTORADO,ACADÊMICO,BA,3
"5,1",UNIVERSIDADE SALGADO DE OLIVEIRA,PSICOLOGIA,PRIVADA,PSICOLOGIA,MESTRADO/DOUTORADO,ACADÊMICO,RJ,5
"5,2",UNIVERSIDADE SALGADO DE OLIVEIRA,CIÊNCIAS DA ATIVIDADE FÍSICA,PRIVADA,EDUCAÇÃO FÍSICA,MESTRADO,ACADÊMICO,RJ,3
"6,1",UNIVERSIDADE FUMEC,"INSTITUIÇÕES SOCIAIS, DIREITO E DEMOCRACIA",PRIVADA,DIREITO,MESTRADO,ACADÊMICO,MG,4
"6,2",UNIVERSIDADE FUMEC,ADMINISTRAÇÃO,PRIVADA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO/DOUTORADO,ACADÊMICO,MG,4
"7,1",UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,ENGENHARIA ELÉTRICA,PÚBLICA,ENGENHARIAS IV,MESTRADO,ACADÊMICO,RN,3
"8,1",UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,TECNOLOGIA E GESTÃO EM EDUCAÇÃO A DISTÂNCIA,PÚBLICA,EDUCAÇÃO,MESTRADO PROFISSIONAL,PROFISSIONAL,PE,3
"9,1",UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,"TECNOLOGIA, AMBIENTE E SOCIEDADE",PÚBLICA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,MG,3
"9,2",UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,ENSINO EM SAÚDE,PÚBLICA,SAÚDE COLETIVA,MESTRADO PROFISSIONAL,PROFISSIONAL,MG,3
"9,3",UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,"EDUCAÇÃO EM CIÊNCIAS, MATEMÁTICA E TECNOLOGIA",PÚBLICA,ENSINO,MESTRADO PROFISSIONAL,PROFISSIONAL,MG,A
"9,4",UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,CIÊNCIAS HUMANAS,PÚBLICA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,MG,3
"10,1",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,EXTENSÃO RURAL,PÚBLICA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,BA,3
"10,2",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,ENGENHARIA AGRÍCOLA,PÚBLICA,CIÊNCIAS AGRÁRIAS I,MESTRADO,ACADÊMICO,BA,3
"10,3",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,EDUCAÇÃO FÍSICA,PÚBLICA,EDUCAÇÃO FÍSICA,MESTRADO,ACADÊMICO,PE,3
"10,4",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,DINÂMICAS DE DESENVOLVIMENTO DO SEMIÁRIDO,PÚBLICA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,PE,3
"10,5",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,CIÊNCIAS VETERINÁRIAS NO SEMIÁRIDO,PÚBLICA,MEDICINA VETERINÁRIA,MESTRADO/DOUTORADO,ACADÊMICO,PE,4
"10,6",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,CIÊNCIA ANIMAL,PÚBLICA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO/DOUTORADO,ACADÊMICO,PE,4
"10,7",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,BIOCIÊNCIAS,PÚBLICA,FARMÁCIA,MESTRADO,ACADÊMICO,PE,3
"10,8",UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,ARQUEOLOGIA,PÚBLICA,ANTROPOLOGIA / ARQUEOLOGIA,MESTRADO,ACADÊMICO,PI,A
"11,1",UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,PSICOLOGIA,PÚBLICA,PSICOLOGIA,MESTRADO,ACADÊMICO,MG,3
