"","bipartite_mapping.bn2..type","object"
"text21",FALSE,"text21"
"text158",FALSE,"text158"
"text159",FALSE,"text159"
"text160",FALSE,"text160"
"text161",FALSE,"text161"
"text162",FALSE,"text162"
"text163",FALSE,"text163"
"text164",FALSE,"text164"
"text165",FALSE,"text165"
"text166",FALSE,"text166"
"text167",FALSE,"text167"
"text168",FALSE,"text168"
"text169",FALSE,"text169"
"text170",FALSE,"text170"
"text171",FALSE,"text171"
"text172",FALSE,"text172"
"text173",FALSE,"text173"
"text174",FALSE,"text174"
"text175",FALSE,"text175"
"text176",FALSE,"text176"
"text177",FALSE,"text177"
"text178",FALSE,"text178"
"text179",FALSE,"text179"
"text180",FALSE,"text180"
"text181",FALSE,"text181"
"text182",FALSE,"text182"
"text183",FALSE,"text183"
"text184",FALSE,"text184"
"text185",FALSE,"text185"
"text186",FALSE,"text186"
"text187",FALSE,"text187"
"text188",FALSE,"text188"
"text189",FALSE,"text189"
"text116",FALSE,"text116"
"text115",FALSE,"text115"
"text13",FALSE,"text13"
"text52",FALSE,"text52"
"text139",FALSE,"text139"
"text135",FALSE,"text135"
"text7",FALSE,"text7"
"text75",FALSE,"text75"
"text76",FALSE,"text76"
"text141",FALSE,"text141"
"text143",FALSE,"text143"
"text148",FALSE,"text148"
"text24",FALSE,"text24"
"text81",FALSE,"text81"
"text83",FALSE,"text83"
"text84",FALSE,"text84"
"text122",FALSE,"text122"
"text144",FALSE,"text144"
"text156",FALSE,"text156"
"text157",FALSE,"text157"
"text197",FALSE,"text197"
"text202",FALSE,"text202"
"text3",FALSE,"text3"
"text9",FALSE,"text9"
"text27",FALSE,"text27"
"text105",FALSE,"text105"
"text108",FALSE,"text108"
"text131",FALSE,"text131"
"text142",FALSE,"text142"
"text155",FALSE,"text155"
"text80",FALSE,"text80"
"text106",FALSE,"text106"
"text154",FALSE,"text154"
"text77",FALSE,"text77"
"text191",FALSE,"text191"
"text32",FALSE,"text32"
"text36",FALSE,"text36"
"text41",FALSE,"text41"
"text64",FALSE,"text64"
"text78",FALSE,"text78"
"text125",FALSE,"text125"
"text147",FALSE,"text147"
"text192",FALSE,"text192"
"text210",FALSE,"text210"
"text29",FALSE,"text29"
"text69",FALSE,"text69"
"text73",FALSE,"text73"
"text102",FALSE,"text102"
"text26",FALSE,"text26"
"text145",FALSE,"text145"
"text20",FALSE,"text20"
"text100",FALSE,"text100"
"text123",FALSE,"text123"
"text152",FALSE,"text152"
"text194",FALSE,"text194"
"text1",FALSE,"text1"
"text17",FALSE,"text17"
"text23",FALSE,"text23"
"text68",FALSE,"text68"
"text97",FALSE,"text97"
"text209",FALSE,"text209"
"text18",FALSE,"text18"
"text66",FALSE,"text66"
"text85",FALSE,"text85"
"text6",FALSE,"text6"
"text19",FALSE,"text19"
"text28",FALSE,"text28"
"text136",FALSE,"text136"
"text207",FALSE,"text207"
"text14",FALSE,"text14"
"text199",FALSE,"text199"
"text205",FALSE,"text205"
"text206",FALSE,"text206"
"text124",FALSE,"text124"
"text126",FALSE,"text126"
"text89",FALSE,"text89"
"text90",FALSE,"text90"
"text198",FALSE,"text198"
"text130",FALSE,"text130"
"text153",FALSE,"text153"
"text86",FALSE,"text86"
"text112",FALSE,"text112"
"text128",FALSE,"text128"
"text140",FALSE,"text140"
"text25",FALSE,"text25"
"text104",FALSE,"text104"
"s1",TRUE,"s1"
"s2",TRUE,"s2"
"s3",TRUE,"s3"
"s4",TRUE,"s4"
"s6",TRUE,"s6"
"s7",TRUE,"s7"
"s8",TRUE,"s8"
"s10",TRUE,"s10"
"s11",TRUE,"s11"
"s12",TRUE,"s12"
"s13",TRUE,"s13"
"s14",TRUE,"s14"
"s15",TRUE,"s15"
"s17",TRUE,"s17"
"s19",TRUE,"s19"
"s20",TRUE,"s20"
"s21",TRUE,"s21"
"s22",TRUE,"s22"
"s23",TRUE,"s23"
"s24",TRUE,"s24"
"s25",TRUE,"s25"
"s26",TRUE,"s26"
"s27",TRUE,"s27"
"s28",TRUE,"s28"
"s31",TRUE,"s31"
"s32",TRUE,"s32"
"s33",TRUE,"s33"
"s34",TRUE,"s34"
"s35",TRUE,"s35"
"s36",TRUE,"s36"
"s37",TRUE,"s37"
"s38",TRUE,"s38"
"s39",TRUE,"s39"
"s40",TRUE,"s40"
"s41",TRUE,"s41"
"s43",TRUE,"s43"
"s44",TRUE,"s44"
"s45",TRUE,"s45"
"s46",TRUE,"s46"
"s47",TRUE,"s47"
"s48",TRUE,"s48"
"s49",TRUE,"s49"
